!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM       UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
15    6     5     2.1912E-10 2.3433E-10 2.5500E-10 2.6960E-10 2.8600E-10 3.0262E-10 3.1500E-10 3.2800E-10 3.4100E-10 3.4700E-10 3.5100E-10 3.5855E-10 3.6400E-10 3.6600E-10 3.6300E-10 3.5900E-10 3.5200E-10 3.3900E-10 3.2300E-10 2.8500E-10 2.8500E-10 2.8500E-10 2.8500E-10 2.8500E-10 2.8500E-10 
16    7     1     7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 7.9200E-12 8.0248E-12 8.1000E-12 8.5700E-12 9.1300E-12 9.2700E-12 9.2400E-12 9.1400E-12 8.9900E-12 8.3700E-12 8.3700E-12 8.3700E-12 8.3700E-12 8.3700E-12 8.3700E-12 
17    7     2     3.4457E-11 3.3713E-11 3.2800E-11 3.2212E-11 3.1600E-11 2.9748E-11 2.8500E-11 2.6000E-11 2.2800E-11 2.0800E-11 1.9100E-11 1.7842E-11 1.7000E-11 1.5700E-11 1.3800E-11 1.2800E-11 1.2500E-11 1.3200E-11 1.4000E-11 1.4300E-11 1.4300E-11 1.4300E-11 1.4300E-11 1.4300E-11 1.4300E-11 
18    7     3     5.6965E-11 5.6848E-11 5.6700E-11 5.6603E-11 5.6500E-11 5.4964E-11 5.3900E-11 5.1600E-11 4.8700E-11 4.7200E-11 4.6050E-11 4.8434E-11 5.0200E-11 5.5300E-11 6.0650E-11 6.5100E-11 6.8500E-11 7.0150E-11 6.9300E-11 6.3450E-11 6.3450E-11 6.3450E-11 6.3450E-11 6.3450E-11 6.3450E-11 
19    7     4     6.7600E-11 6.7600E-11 6.7600E-11 6.7600E-11 6.7600E-11 6.5351E-11 6.3800E-11 5.9700E-11 5.4300E-11 5.1100E-11 4.8750E-11 4.8779E-11 4.8800E-11 4.9100E-11 4.9800E-11 5.0700E-11 5.2600E-11 5.5500E-11 5.6700E-11 5.4400E-11 5.4400E-11 5.4400E-11 5.4400E-11 5.4400E-11 5.4400E-11 
20    7     5     9.1242E-11 9.4300E-11 9.8300E-11 1.0103E-10 1.0400E-10 1.0690E-10 1.0900E-10 1.1300E-10 1.1900E-10 1.2400E-10 1.2950E-10 1.4331E-10 1.5400E-10 1.7200E-10 2.0450E-10 2.3350E-10 2.6800E-10 3.0300E-10 3.1800E-10 3.1000E-10 3.1000E-10 3.1000E-10 3.1000E-10 3.1000E-10 3.1000E-10 
21    7     6     2.0179E-10 2.1340E-10 2.2900E-10 2.3989E-10 2.5200E-10 2.6970E-10 2.8300E-10 3.0100E-10 3.2000E-10 3.3000E-10 3.3700E-10 3.4856E-10 3.5700E-10 3.6100E-10 3.6100E-10 3.5700E-10 3.5100E-10 3.4000E-10 3.2400E-10 2.8600E-10 2.8600E-10 2.8600E-10 2.8600E-10 2.8600E-10 2.8600E-10 
22    8     1     3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.7950E-12 3.5033E-12 3.3100E-12 2.9600E-12 2.5100E-12 2.3100E-12 2.2400E-12 2.3800E-12 2.5600E-12 2.6700E-12 2.6700E-12 2.6700E-12 2.6700E-12 2.6700E-12 2.6700E-12 
23    8     2     1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5400E-11 1.5863E-11 1.6200E-11 1.7100E-11 1.8300E-11 1.8800E-11 1.9000E-11 1.8900E-11 1.8600E-11 1.7300E-11 1.7300E-11 1.7300E-11 1.7300E-11 1.7300E-11 1.7300E-11 
24    8     3     2.7568E-11 2.7627E-11 2.7700E-11 2.7748E-11 2.7800E-11 2.7565E-11 2.7400E-11 2.6500E-11 2.4800E-11 2.3500E-11 2.2100E-11 2.0968E-11 2.0200E-11 1.8600E-11 1.6300E-11 1.5200E-11 1.5000E-11 1.6000E-11 1.7200E-11 1.7700E-11 1.7700E-11 1.7700E-11 1.7700E-11 1.7700E-11 1.7700E-11 
25    8     4     4.1251E-11 4.2188E-11 4.3400E-11 4.4217E-11 4.5100E-11 4.5856E-11 4.6400E-11 4.6700E-11 4.6700E-11 4.6500E-11 4.6550E-11 5.0387E-11 5.3300E-11 5.9500E-11 6.8500E-11 7.3600E-11 7.7500E-11 7.9400E-11 7.8400E-11 7.1700E-11 7.1700E-11 7.1700E-11 7.1700E-11 7.1700E-11 7.1700E-11 
26    8     5     5.4952E-11 5.5632E-11 5.6500E-11 5.7079E-11 5.7700E-11 5.7758E-11 5.7800E-11 5.6600E-11 5.4100E-11 5.2300E-11 5.0500E-11 5.0675E-11 5.0800E-11 5.0800E-11 5.1200E-11 5.2200E-11 5.4300E-11 5.7500E-11 5.8800E-11 5.6500E-11 5.6500E-11 5.6500E-11 5.6500E-11 5.6500E-11 5.6500E-11 
27    8     6     7.4981E-11 7.7502E-11 8.0800E-11 8.3048E-11 8.5500E-11 8.9867E-11 9.3100E-11 9.8600E-11 1.0800E-10 1.1500E-10 1.2250E-10 1.3898E-10 1.5200E-10 1.7300E-10 2.0800E-10 2.3800E-10 2.7400E-10 3.1000E-10 3.2500E-10 3.1700E-10 3.1700E-10 3.1700E-10 3.1700E-10 3.1700E-10 3.1700E-10 
28    8     7     1.8859E-10 1.9694E-10 2.0800E-10 2.1562E-10 2.2400E-10 2.4053E-10 2.5300E-10 2.7300E-10 2.9700E-10 3.0900E-10 3.1950E-10 3.3531E-10 3.4700E-10 3.5400E-10 3.5600E-10 3.5400E-10 3.5000E-10 3.3900E-10 3.2400E-10 2.8700E-10 2.8700E-10 2.8700E-10 2.8700E-10 2.8700E-10 2.8700E-10 
29    9     1     2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 2.9700E-12 3.0107E-12 3.0400E-12 3.1800E-12 3.4700E-12 3.6600E-12 3.7900E-12 3.8400E-12 3.7900E-12 3.5000E-12 3.5000E-12 3.5000E-12 3.5000E-12 3.5000E-12 3.5000E-12 
30    9     2     7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 7.5300E-12 6.9464E-12 6.5600E-12 5.8200E-12 4.9400E-12 4.5900E-12 4.5700E-12 5.0100E-12 5.4300E-12 5.6900E-12 5.6900E-12 5.6900E-12 5.6900E-12 5.6900E-12 5.6900E-12 
31    9     3     1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8693E-11 1.9200E-11 2.0600E-11 2.2200E-11 2.2900E-11 2.3300E-11 2.3300E-11 2.3000E-11 2.1400E-11 2.1400E-11 2.1400E-11 2.1400E-11 2.1400E-11 2.1400E-11 
32    9     4     2.8458E-11 2.7641E-11 2.6644E-11 2.6007E-11 2.5349E-11 2.4583E-11 2.4053E-11 2.3295E-11 2.2340E-11 2.1711E-11 2.3000E-11 2.1990E-11 2.1300E-11 1.9600E-11 1.7300E-11 1.6300E-11 1.6200E-11 1.7700E-11 1.9000E-11 1.9600E-11 1.9600E-11 1.9600E-11 1.9600E-11 1.9600E-11 1.9600E-11 
33    9     5     4.0573E-11 4.0988E-11 4.1517E-11 4.1869E-11 4.2246E-11 4.2670E-11 4.2974E-11 4.3401E-11 4.3938E-11 4.4292E-11 4.6500E-11 5.0970E-11 5.4400E-11 6.1600E-11 7.1300E-11 7.6600E-11 8.0700E-11 8.2900E-11 8.1800E-11 7.4900E-11 7.4900E-11 7.4900E-11 7.4900E-11 7.4900E-11 7.4900E-11 
34    9     6     5.6923E-11 5.6079E-11 5.5033E-11 5.4355E-11 5.3645E-11 5.2829E-11 5.2257E-11 5.1445E-11 5.0422E-11 4.9748E-11 5.2800E-11 5.2566E-11 5.2400E-11 5.2000E-11 5.2100E-11 5.3100E-11 5.5400E-11 5.8800E-11 6.0200E-11 5.7900E-11 5.7900E-11 5.7900E-11 5.7900E-11 5.7900E-11 5.7900E-11 
35    9     7     6.5884E-11 7.0595E-11 7.7011E-11 8.1553E-11 8.6660E-11 9.2180E-11 9.6308E-11 1.0195E-10 1.0906E-10 1.1375E-10 1.2000E-10 1.3620E-10 1.4900E-10 1.7200E-10 2.1000E-10 2.4100E-10 2.7700E-10 3.1500E-10 3.3000E-10 3.2100E-10 3.2100E-10 3.2100E-10 3.2100E-10 3.2100E-10 3.2100E-10 
36    9     8     1.6040E-10 1.7281E-10 1.8983E-10 2.0194E-10 2.1563E-10 2.3037E-10 2.4143E-10 2.5652E-10 2.7553E-10 2.8806E-10 3.0900E-10 3.2395E-10 3.3500E-10 3.4400E-10 3.4900E-10 3.4900E-10 3.4600E-10 3.3700E-10 3.2300E-10 2.8600E-10 2.8600E-10 2.8600E-10 2.8600E-10 2.8600E-10 2.8600E-10 
37    10    1     1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.3800E-12 1.2592E-12 1.1800E-12 1.0400E-12 8.8300E-13 8.4200E-13 8.8600E-13 1.0300E-12 1.1500E-12 1.2200E-12 1.2200E-12 1.2200E-12 1.2200E-12 1.2200E-12 1.2200E-12 
38    10    2     5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.5300E-12 5.7264E-12 5.8700E-12 6.2700E-12 6.9900E-12 7.4600E-12 7.8300E-12 8.0300E-12 7.9700E-12 7.3900E-12 7.3900E-12 7.3900E-12 7.3900E-12 7.3900E-12 7.3900E-12 
39    10    3     8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 8.3800E-12 7.8289E-12 7.4600E-12 6.6800E-12 5.7700E-12 5.4800E-12 5.6400E-12 6.3600E-12 6.9700E-12 7.3200E-12 7.3200E-12 7.3200E-12 7.3200E-12 7.3200E-12 7.3200E-12 
40    10    4     1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.8000E-11 1.9256E-11 2.0200E-11 2.2000E-11 2.3900E-11 2.4700E-11 2.5200E-11 2.5400E-11 2.5100E-11 2.3400E-11 2.3400E-11 2.3400E-11 2.3400E-11 2.3400E-11 2.3400E-11 
41    10    5     2.7409E-11 2.6588E-11 2.5589E-11 2.4951E-11 2.4293E-11 2.3526E-11 2.2997E-11 2.2240E-11 2.1285E-11 2.0656E-11 2.2500E-11 2.1850E-11 2.1400E-11 1.9900E-11 1.7700E-11 1.6800E-11 1.7000E-11 1.8700E-11 2.0300E-11 2.1000E-11 2.1000E-11 2.1000E-11 2.1000E-11 2.1000E-11 2.1000E-11 
42    10    6     3.8689E-11 3.9104E-11 3.9633E-11 3.9985E-11 4.0362E-11 4.0787E-11 4.1091E-11 4.1517E-11 4.2054E-11 4.2408E-11 4.4700E-11 5.0357E-11 5.4800E-11 6.2900E-11 7.3200E-11 7.8800E-11 8.3100E-11 8.5500E-11 8.4500E-11 7.7400E-11 7.7400E-11 7.7400E-11 7.7400E-11 7.7400E-11 7.7400E-11 
43    10    7     5.5460E-11 5.4614E-11 5.3567E-11 5.2888E-11 5.2178E-11 5.1362E-11 5.0790E-11 4.9978E-11 4.8955E-11 4.8281E-11 5.3100E-11 5.3041E-11 5.3000E-11 5.2500E-11 5.2400E-11 5.3400E-11 5.5800E-11 5.9500E-11 6.1200E-11 5.8900E-11 5.8900E-11 5.8900E-11 5.8900E-11 5.8900E-11 5.8900E-11 
