!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM         UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
15    6     5     2.3590E-11 3.2446E-11 4.8480E-11 5.6117E-11 6.5530E-11 6.8308E-11 7.0350E-11 6.9830E-11 6.9260E-11 6.9930E-11 7.1850E-11 7.5370E-11 7.8500E-11 8.3480E-11 9.0230E-11 9.3910E-11 9.5210E-11 9.0148E-11 8.6720E-11 7.6490E-11 7.6490E-11 7.6490E-11 7.6490E-11 7.6490E-11 7.6490E-11 
16    7     1     5.3510E-13 5.1752E-13 4.9620E-13 4.9906E-13 5.0210E-13 5.3066E-13 5.5190E-13 6.1490E-13 7.6480E-13 9.2530E-13 1.1520E-12 1.4560E-12 1.6780E-12 1.9990E-12 2.5120E-12 2.9780E-12 3.5560E-12 4.1423E-12 4.6160E-12 4.9610E-12 4.9610E-12 4.9610E-12 4.9610E-12 4.9610E-12 4.9610E-12 
17    7     2     2.1460E-12 2.1116E-12 2.0690E-12 2.1466E-12 2.2320E-12 2.4294E-12 2.5800E-12 2.9260E-12 3.7380E-12 4.6690E-12 6.1360E-12 8.4560E-12 1.0450E-11 1.3550E-11 1.7590E-11 2.0070E-11 2.2170E-11 2.3036E-11 2.3670E-11 2.2760E-11 2.2760E-11 2.2760E-11 2.2760E-11 2.2760E-11 2.2760E-11 
18    7     3     9.8820E-12 9.5530E-12 9.1540E-12 9.0411E-12 8.9230E-12 8.9236E-12 8.9240E-12 9.0560E-12 9.4850E-12 9.9700E-12 1.0660E-11 1.1700E-11 1.2700E-11 1.4720E-11 1.8540E-11 2.1680E-11 2.5110E-11 2.8157E-11 3.0540E-11 3.2020E-11 3.2020E-11 3.2020E-11 3.2020E-11 3.2020E-11 3.2020E-11 
19    7     4     1.4440E-11 1.4519E-11 1.4620E-11 1.5591E-11 1.6690E-11 1.7994E-11 1.8980E-11 2.0230E-11 2.2460E-11 2.4710E-11 2.7940E-11 3.2560E-11 3.6280E-11 4.1840E-11 4.8860E-11 5.2920E-11 5.5840E-11 5.5699E-11 5.5600E-11 5.1840E-11 5.1840E-11 5.1840E-11 5.1840E-11 5.1840E-11 5.1840E-11 
20    7     5     8.7370E-11 8.6752E-11 8.5980E-11 8.5752E-11 8.5510E-11 8.3141E-11 8.1500E-11 7.7750E-11 7.2830E-11 7.0180E-11 6.8460E-11 6.8620E-11 7.0480E-11 7.5700E-11 8.5550E-11 9.2550E-11 9.8690E-11 1.0142E-10 1.0340E-10 1.0080E-10 1.0080E-10 1.0080E-10 1.0080E-10 1.0080E-10 1.0080E-10 
21    7     6     2.7170E-11 3.2131E-11 3.9690E-11 4.7711E-11 5.7990E-11 6.4115E-11 6.8850E-11 7.0600E-11 7.1250E-11 7.2120E-11 7.3910E-11 7.7060E-11 7.9870E-11 8.4490E-11 9.1040E-11 9.4700E-11 9.6040E-11 9.1252E-11 8.8000E-11 7.8210E-11 7.8210E-11 7.8210E-11 7.8210E-11 7.8210E-11 7.8210E-11 
22    8     1     2.3340E-13 2.3055E-13 2.2700E-13 2.3166E-13 2.3670E-13 2.5587E-13 2.7040E-13 3.1520E-13 4.3570E-13 5.9020E-13 8.6140E-13 1.3450E-12 1.8020E-12 2.5630E-12 3.6230E-12 4.3550E-12 5.1200E-12 5.7573E-12 6.2570E-12 6.4340E-12 6.4340E-12 6.4340E-12 6.4340E-12 6.4340E-12 6.4340E-12 
23    8     2     1.1390E-12 1.1116E-12 1.0780E-12 1.0775E-12 1.0770E-12 1.1157E-12 1.1440E-12 1.2470E-12 1.5120E-12 1.8130E-12 2.2720E-12 2.9620E-12 3.5350E-12 4.4280E-12 5.7490E-12 6.8200E-12 8.1690E-12 9.7324E-12 1.1020E-11 1.2130E-11 1.2130E-11 1.2130E-11 1.2130E-11 1.2130E-11 1.2130E-11 
24    8     3     3.6230E-12 3.5635E-12 3.4900E-12 3.5449E-12 3.6040E-12 3.8099E-12 3.9630E-12 4.3610E-12 5.2950E-12 6.3590E-12 8.0370E-12 1.0720E-11 1.3070E-11 1.6810E-11 2.1770E-11 2.5020E-11 2.8270E-11 3.0832E-11 3.2790E-11 3.3110E-11 3.3110E-11 3.3110E-11 3.3110E-11 3.3110E-11 3.3110E-11 
25    8     4     1.2100E-11 1.1858E-11 1.1560E-11 1.1467E-11 1.1370E-11 1.1253E-11 1.1170E-11 1.1140E-11 1.1340E-11 1.1650E-11 1.2160E-11 1.3060E-11 1.4070E-11 1.6360E-11 2.1010E-11 2.4920E-11 2.9340E-11 3.3593E-11 3.6980E-11 3.9320E-11 3.9320E-11 3.9320E-11 3.9320E-11 3.9320E-11 3.9320E-11 
26    8     5     2.0910E-11 2.0759E-11 2.0570E-11 2.1186E-11 2.1860E-11 2.2992E-11 2.3830E-11 2.5040E-11 2.7110E-11 2.9140E-11 3.2060E-11 3.6260E-11 3.9650E-11 4.4700E-11 5.0950E-11 5.4810E-11 5.8530E-11 6.1037E-11 6.2880E-11 6.1550E-11 6.1550E-11 6.1550E-11 6.1550E-11 6.1550E-11 6.1550E-11 
